1
		Rooms	Brand	Parent Company	Property Name	Market Name	Submarket Name	Hotel Class	Scale	Operation Type	Constr Status	Operational Status	Expansion Rooms	Expansion Status Month	Expansion Status Year	Expansion Status	Property Address	City	State	Zip	Year Built	Year Renovated	Hotel Open Date	Data Participation	Mtg Rooms	Total Mtg Space	Max Contig Mtg Space	Hotel Location Type	Secondary Type	All-Inclusive	All-Suites	Primary Corridors	Number Of Stories	Number Of Parking Spaces	Parking Spaces/Room	FEMA Map Date	FEMA Map Identifier	FIRM ID	FIRM Panel Number	In SFHA	Floodplain Area	Owner Name	Owner Phone	Owner Contact	Owner Address	Owner City State Zip	Property Location	True Owner Address	True Owner City State Zip	True Owner Name	True Owner Contact	True Owner Phone
		62	Spark by Hilton	Hilton Worldwide	Spark by Hilton Corpus Christi Southeast	Texas South	Corpus Christi	Midscale	Midscale	Franchise	Existing	Open					5209 Blanche Moore Dr	Corpus Christi	TX	78411-4211	1995	2013	02/01/1995	Monthly & Daily				Suburban	Hotel	No	No	Interior	3	68	1.097	10/13/2022	48355C0510G	48355C	0510G	No	100-year and 500-year Floodplain	Archer Capital Group	9097718006	Rahil Sanghvi	8300 NW 123 Way	Parkland, FL 33076		8300 NW 123 Way	Parkland, FL 33076	Archer Capital Group	Rahil Sanghvi	9097718006
		303	DoubleTree by Hilton	Hilton Worldwide	DoubleTree by Hilton Hotel Houston Hobby Airport	Houston, TX	Houston Hobby Airport/NASA	Upscale	Upscale	Franchise	Existing	Open					8181 Airport Blvd	Houston	TX	77061	1982	2012	11/01/1982	Monthly & Daily	16	15,560	8,214	Airport	Hotel	No	No	Interior	9	430	1.419	05/02/2019	48201C0895N	48201C	0895N	Yes	100-year Floodplain	InnJoy Hospitality	9569614678		3204 Monroe	Edinburg, TX 78539		3204 Monroe	Edinburg, TX 78539	InnJoy Hospitality		9569614678
		119	Hampton by Hilton	Hilton Worldwide	Hampton Inn Houston Hobby Airport	Houston, TX	Houston Hobby Airport/NASA	Upper Midscale	Upper Midscale	Franchise	Existing	Open					8620 Airport Blvd	Houston	TX	77061	1996	2019	11/01/1996	Monthly & Daily	1	475	475	Airport	Hotel	No	No	Interior	5	148	1.244	05/02/2019	48201C0895N	48201C	0895N	Yes	100-year Floodplain	Gulf South Investments, Inc.	7139889018	Ying Shi Lai	5800 Ranchester Dr Suite # 210	Houston, TX 77036-2464		5800 Ranchester Dr Suite # 210	Houston, TX 77036-2464	Gulf South Investments, Inc.	Ying Shi Lai	7139889018
		60	Spark by Hilton	Hilton Worldwide	Spark by Hilton Houston Hobby Airport	Houston, TX	Houston Hobby Airport/NASA	Midscale	Midscale	Franchise	Existing	Open					9120 Airport Blvd	Houston	TX	77061	2008	2025	05/01/2008	Monthly & Daily	0	0	0	Airport	Hotel	No	Yes	Interior	3	66	1.100	05/02/2019	48201C0895N	48201C	0895N	No	100-year and 500-year Floodplain	Wayside Investment Group	8004277163	Ash Patel	8866 Gulf Fwy Suite # 250-B	Houston, TX 77017		8866 Gulf Fwy Suite # 250-B	Houston, TX 77017	Wayside Investment Group	Ash Patel	8004277163
		87	Home2 Suites by Hilton	Hilton Worldwide	Home2 Suites by Hilton Austin Airport	Austin, TX	South Austin/Airport	Upper Midscale	Upper Midscale	Franchise	Existing	Open					1705 Airport Commerce Dr	Austin	TX	78741	2017		08/01/2017	Monthly & Daily	1	750	750	Airport	Hotel	No	Yes	Interior	4			01/22/2020	48453C0605K	48453C	0605K	No	100-year and 500-year Floodplain	Nasruddin Mahesania	5122035049	Nasruddin Mahesania	11700 Shoreview Overlook	Austin, TX 78732-2305		11700 Shoreview Overlook	Austin, TX 78732-2305	Nasruddin Mahesania	Nasruddin Mahesania	5122035049
		237	Tapestry Collection by Hilton	Hilton Worldwide	Lorenzo Hotel Dallas, Tapestry Collection by Hilton	Dallas, TX	Dallas CBD/Market Center	Upper Upscale	Upper Upscale	Franchise	Existing	Open					1011 S Akard St	Dallas	TX	75215-1000	1972	2024	06/01/1972	Monthly & Daily	6	5,888	3,038	Urban	Hotel	No	No	Interior	12	107	0.451	08/23/2001	48113C0345J	48113C	0345J	No	100-year and 500-year Floodplain	Hamilton Properties Corporation	2147415100		301 S Harwood St	Dallas, TX 75201-5600		301 S Harwood St	Dallas, TX 75201-5600	Hamilton Properties Corporation		2147415100
		157	Hyatt Place	Hyatt Corporation	Hyatt Place Houston Galleria	Houston, TX	Houston Galleria/Greenway Plaza	Upscale	Upscale	Franchise	Existing	Open					5252 W Alabama St	Houston	TX	77056-5902	2016		01/21/2016	Monthly & Daily	2	1,360	1,360	Urban	Hotel	No	No	Interior	12			06/18/2007	48201C0855L	48201C	0855L	No	100-year and 500-year Floodplain	Songy Highroads	4049958170		11605 Haynes Bridge Rd Suite # 125	Alpharetta, GA 30009-8669		11605 Haynes Bridge Rd Suite # 125	Alpharetta, GA 30009-8669	Songy Highroads		4049958170
		485	Hilton	Hilton Worldwide	Hilton Palacio Del Rio	San Antonio, TX	San Antonio CBD	Upper Upscale	Upper Upscale	Franchise	Existing	Open					200 S Alamo St	San Antonio	TX	78205	1968	2012	01/01/1968	Monthly & Daily	12	26,211	5,757	Urban	Hotel	No	No	Interior	19	200	0.412	09/29/2010	48029C0415G	48029C	0415G	Yes	100-year Floodplain	Zachry Corporation	2108712700		14410 Wurzbach Pky Suite # 120	San Antonio, TX 78216		14410 Wurzbach Pky Suite # 120	San Antonio, TX 78216	Zachry Corporation		2108712700
		130	Hyatt Place	Hyatt Corporation	Hyatt Place Fort Worth / Alliance Town Center	Fort Worth/Arlington, TX	Fort Worth North	Upscale	Upscale	Franchise	Existing	Open					3201 Alliance Town Center	Fort Worth	TX	76177	2022		06/29/2022	Monthly & Daily	3	1,726	1,056	Suburban	Hotel	No	No	Interior	6	140	1.077	03/21/2019	48439C0065L	48439C	0065L	No	100-year and 500-year Floodplain	Texas Hotel Management	9795749220		2121 E William Joel Bryan Pky Suite # 2864	Bryan, TX 77805		2121 E William Joel Bryan Pky Suite # 2864	Bryan, TX 77805	Texas Hotel Management		9795749220
		143	Home2 Suites by Hilton	Hilton Worldwide	Home2 Suites by Hilton Houston Medical Center	Houston, TX	Houston Medical Ctr/NRG Stadium	Upper Midscale	Upper Midscale	Franchise	Existing	Open					6840 Almeda Rd	Houston	TX	77030	2021		09/23/2021	Monthly & Daily				Urban	Hotel	No	Yes	Interior	10			06/18/2007	48201C0860L	48201C	0860L	Yes	100-year Floodplain	American Liberty Hospitality	7139775556		2901 Wilcrest Dr Suite # 120	Houston, TX 77042-3399		2901 Wilcrest Dr Suite # 120	Houston, TX 77042-3399	American Liberty Hospitality		7139775556
